id,title,type,parent,depends_on,description
E07-I03,RL fine-tuning (PPO/A2C),issue,E07,"E01-I03;E06-I02;E07-I02",Improves success on Sequential/Conditional vs BC-only.
E07-I04,Reward shaping and stability ablation,issue,E07,E07-I03,Compare with/without JEPA reward and novelty bonus.
E08,Meta-JEPA (Rule-Space Learning),epic,,,Learn task-family embeddings and retrieval.
E08-I01,Rule-family dataset from traces,issue,E08,E04-I02,Define families; positive/negative sampling strategy.
E08-I02,Meta-JEPA model + contrastive training,issue,E08,"E05-I01;E08-I01",Clustering and k-NN retrieval surpass baseline.
E08-I03,Integration hooks for planner,issue,E08,"E08-I02;E06-I03",API to query nearest rule families to guide options.
E09,Evaluation & OOD Benchmarks,epic,,,Unified evaluation harness across ARC-1/2 and OOD axes.
E09-I01,ARC dataset loader/adapters,issue,E09,E06-I01,Load and adapt ARC tasks to env format.
E09-I02,OOD split definitions and configs,issue,E09,E04-I02,Structural, semantic, program, causal OOD configs.
E09-I03,Evaluation runner + metrics,issue,E09,"E09-I01;E09-I02;E07-I03",Report success, latent distance, options executed, novelty.
E09-I04,Ablation suite,issue,E09,E09-I03,Compare no-BC, no-JEPA reward, no-meta variants.
E10,Visualization & UX,epic,,,Make training and data interpretable.
E10-I01,Grid/task viewer (Streamlit),issue,E10,E03-I03,Browse input/output and rule_trace; export samples.
E10-I02,Latent space visualization,issue,E10,"E05-I04;E08-I02",t-SNE/UMAP plots; nearest-neighbor demos.
E10-I03,Experiment dashboard,issue,E10,"E05-I04;E07-I03;E09-I03",Training curves and eval metrics in one place.
E11,Advanced: Latent Option Discovery,epic,,,Auto-spawn new primitives from latent clusters and distill them.
E11-I01,Cluster unexplained latent deltas,issue,E11,"E05-I04;E07-I03",Pipeline outputs candidate clusters with coverage stats.
E11-I02,Symbolic distillation into new options,issue,E11,"E11-I01;E02-I02",Add new options to registry with minimal spec and tests.
E11-I03,Curriculum auto-tuning,issue,E11,"E04-I01;E11-I02",Sampler adapts based on JEPA loss or HRL success rate.
